,missing_count,missing_rate
id_24,585793,0.9919615944728554
id_25,585408,0.9913096487960172
id_07,585385,0.9912707013919464
id_08,585385,0.9912707013919464
id_21,585381,0.9912639279303688
id_26,585377,0.9912571544687913
id_22,585371,0.9912469942764249
id_23,585371,0.9912469942764249
id_27,585371,0.9912469942764249
dist2,552913,0.9362837403054831
D7,551623,0.9340992989467267
id_18,545427,0.9236072069631185
D13,528588,0.8950926270870728
D14,528353,0.8946946862193924
D12,525823,0.8904104717715988
id_03,524216,0.8876892335828225
id_04,524216,0.8876892335828225
D6,517353,0.8760676668811597
id_33,517251,0.8758949436109323
D8,515614,0.8731229044603245
D9,515614,0.8731229044603245
id_09,515614,0.8731229044603245
id_10,515614,0.8731229044603245
id_30,512975,0.868654113184543
id_32,512954,0.8686185525112609
id_34,512735,0.8682477054898906
id_14,510496,0.8644562603718631
V138,508595,0.8612371727571375
V139,508595,0.8612371727571375
V140,508595,0.8612371727571375
V141,508595,0.8612371727571375
V142,508595,0.8612371727571375
V146,508595,0.8612371727571375
V147,508595,0.8612371727571375
V148,508595,0.8612371727571375
V149,508595,0.8612371727571375
V153,508595,0.8612371727571375
V154,508595,0.8612371727571375
V155,508595,0.8612371727571375
V156,508595,0.8612371727571375
V157,508595,0.8612371727571375
V158,508595,0.8612371727571375
V161,508595,0.8612371727571375
V162,508595,0.8612371727571375
V163,508595,0.8612371727571375
V143,508589,0.8612270125647712
V144,508589,0.8612270125647712
V145,508589,0.8612270125647712
V150,508589,0.8612270125647712
V151,508589,0.8612270125647712
V152,508589,0.8612270125647712
V159,508589,0.8612270125647712
V160,508589,0.8612270125647712
V164,508589,0.8612270125647712
V165,508589,0.8612270125647712
V166,508589,0.8612270125647712
V322,508189,0.8605496664070174
V323,508189,0.8605496664070174
V324,508189,0.8605496664070174
V325,508189,0.8605496664070174
V326,508189,0.8605496664070174
V327,508189,0.8605496664070174
V328,508189,0.8605496664070174
V329,508189,0.8605496664070174
V330,508189,0.8605496664070174
V331,508189,0.8605496664070174
V332,508189,0.8605496664070174
V333,508189,0.8605496664070174
V334,508189,0.8605496664070174
V335,508189,0.8605496664070174
V336,508189,0.8605496664070174
V337,508189,0.8605496664070174
V338,508189,0.8605496664070174
V339,508189,0.8605496664070174
DeviceInfo,471874,0.7990551021099332
id_13,463220,0.7844007179869272
id_16,461200,0.7809801198902699
V217,460110,0.7791343516103905
V218,460110,0.7791343516103905
V219,460110,0.7791343516103905
V223,460110,0.7791343516103905
V224,460110,0.7791343516103905
V225,460110,0.7791343516103905
V226,460110,0.7791343516103905
V228,460110,0.7791343516103905
V229,460110,0.7791343516103905
V230,460110,0.7791343516103905
V231,460110,0.7791343516103905
V232,460110,0.7791343516103905
V233,460110,0.7791343516103905
V235,460110,0.7791343516103905
V236,460110,0.7791343516103905
